index,variance,mean,std,max,min,range
228,1.6545593e-07,0.00045019388,0.00040676273,0.0032653809,1.1503696e-05,0.0032538772
0,1.6400239e-07,0.00032587914,0.0004049721,0.0027313232,1.4126301e-05,0.002717197
129,1.6292229e-07,0.00033303082,0.00040363634,0.005218506,2.0861626e-06,0.0052164197
223,1.5865304e-07,0.00027661654,0.00039831272,0.0058898926,3.3974648e-06,0.005886495
143,1.4678159e-07,0.00020561116,0.00038312085,0.006439209,1.3783574e-06,0.0064378306
98,1.3500255e-07,0.00020796558,0.00036742692,0.005706787,9.760261e-07,0.005705811
146,1.2721081e-07,0.00033680673,0.00035666625,0.0026245117,2.7567148e-06,0.002621755
82,1.25818e-07,0.0002064494,0.00035470835,0.0042419434,1.9520521e-06,0.0042399913
114,1.256741e-07,0.0002426689,0.00035450544,0.004547119,8.381903e-07,0.004546281
241,1.2340212e-07,0.0002798409,0.00035128638,0.0029144287,2.6375055e-06,0.0029117912
239,1.2326096e-07,0.00024004132,0.00035108541,0.0047302246,3.4421682e-06,0.0047267824
130,1.1989424e-07,0.0002773725,0.00034625747,0.0038452148,2.771616e-06,0.0038424432
162,1.1672031e-07,0.00034488717,0.00034164355,0.0030517578,1.9520521e-06,0.0030498058
224,1.1384124e-07,0.00025895596,0.00033740368,0.0039367676,2.3245811e-06,0.003934443
118,1.1129257e-07,0.00041188046,0.00033360542,0.0025024414,1.21593475e-05,0.002490282
251,1.0785743e-07,0.0001749374,0.00032841656,0.0043945312,1.9967556e-06,0.0043925345
40,1.0579748e-07,0.00014574126,0.00032526525,0.0076904297,1.6540289e-06,0.0076887757
225,1.0371524e-07,0.00024872465,0.0003220485,0.0027770996,1.5646219e-06,0.002775535
134,1.0069422e-07,0.00037519808,0.00031732352,0.0025787354,1.3589859e-05,0.0025651455
273,9.7719514e-08,0.00019596083,0.00031260122,0.005432129,1.8253922e-06,0.0054303035
208,9.767933e-08,0.00025090895,0.00031253693,0.004272461,1.7881393e-06,0.004270673
149,9.621771e-08,0.00039842853,0.0003101898,0.0022735596,1.4960766e-05,0.0022585988
119,9.3728694e-08,0.0003779596,0.00030615143,0.0023498535,1.6331673e-05,0.0023335218
257,9.203693e-08,0.00022027058,0.00030337588,0.0032348633,1.385808e-06,0.0032334775
178,9.083902e-08,0.00031292738,0.00030139514,0.0026245117,2.3841858e-06,0.0026221275
240,9.063524e-08,0.0002633235,0.00030105686,0.0026245117,1.3187528e-06,0.002623193
22,9.0565145e-08,0.00016898965,0.00030094045,0.0049743652,4.1127205e-06,0.0049702525
150,8.992192e-08,0.00038398473,0.00029986983,0.002243042,1.31726265e-05,0.0022298694
97,8.8159325e-08,0.00019519866,0.00029691635,0.0032348633,1.065433e-06,0.0032337978
133,8.7644544e-08,0.0003673968,0.0002960482,0.0021820068,1.2397766e-05,0.002169609
132,8.630012e-08,0.0003795012,0.00029376883,0.0018920898,1.0788441e-05,0.0018813014
209,8.576776e-08,0.00027136545,0.00029286134,0.0030059814,1.6465783e-06,0.0030043349
216,8.249838e-08,0.00016633573,0.00028722532,0.0045166016,2.771616e-06,0.00451383
117,8.227356e-08,0.00036509018,0.00028683367,0.0020599365,1.1026859e-05,0.0020489097
213,8.1986755e-08,0.00034227586,0.0002863333,0.0022125244,1.2278557e-05,0.0022002459
135,8.0865824e-08,0.00038130046,0.00028436916,0.0019836426,1.2278557e-05,0.001971364
242,8.0556504e-08,0.00024485006,0.00028382477,0.0022583008,1.6987324e-06,0.002256602
166,7.8870826e-08,0.0003695319,0.0002808395,0.001953125,1.2695789e-05,0.0019404292
152,7.8423646e-08,0.0003611948,0.0002800422,0.0016174316,1.2516975e-05,0.0016049147
148,7.683056e-08,0.0003601977,0.00027718325,0.0018005371,1.1384487e-05,0.0017891526
184,7.586818e-08,0.0003687774,0.0002754418,0.0017623901,1.0669231e-05,0.0017517209
120,7.4401505e-08,0.00034988698,0.0002727664,0.0019683838,3.8444996e-06,0.0019645393
207,7.3503564e-08,0.00019424187,0.0002711154,0.0039367676,2.413988e-06,0.0039343536
169,7.335152e-08,0.00028867056,0.00027083486,0.0018234253,3.5762787e-06,0.001819849
116,7.045498e-08,0.00033153594,0.00026543357,0.001663208,9.119511e-06,0.0016540885
151,6.9655e-08,0.0003583475,0.00026392235,0.0016860962,1.40070915e-05,0.0016720891
81,6.891578e-08,0.00017379553,0.00026251815,0.003768921,1.8030405e-06,0.0037671179
113,6.860386e-08,0.00020007041,0.0002619234,0.002532959,1.3783574e-06,0.0025315806
181,6.787756e-08,0.00035502663,0.0002605332,0.0019073486,9.536743e-06,0.0018978119
67,6.647538e-08,0.000181602,0.0002578282,0.0031738281,2.1755695e-06,0.0031716526
193,6.512075e-08,0.0002466672,0.00025518768,0.0018463135,1.706183e-06,0.0018446073
165,6.451038e-08,0.00034125138,0.00025398892,0.0016403198,1.23381615e-05,0.0016279817
136,6.418957e-08,0.00032894488,0.00025335661,0.0017776489,1.0371208e-05,0.0017672777
198,6.408837e-08,0.00034044584,0.00025315682,0.001953125,9.775162e-06,0.0019433498
153,6.391807e-08,0.00035254972,0.00025282023,0.0015335083,1.2934208e-05,0.0015205741
167,6.3129264e-08,0.00033841826,0.00025125538,0.0014038086,1.0788441e-05,0.0013930202
229,6.213068e-08,0.0003302234,0.00024926028,0.0018463135,8.583069e-06,0.0018377304
103,6.086888e-08,0.00027328666,0.0002467162,0.0017318726,7.748604e-06,0.001724124
245,6.032907e-08,0.00025136795,0.00024561977,0.0023498535,2.771616e-06,0.002347082
48,5.7134784e-08,0.00014772404,0.00023902883,0.003692627,1.1175871e-06,0.0036915094
168,5.6742735e-08,0.0003218744,0.00023820733,0.0015411377,1.168251e-05,0.0015294552
102,5.4016294e-08,0.00026284056,0.00023241405,0.001739502,7.033348e-06,0.0017324686
274,5.17623e-08,0.00016188358,0.0002275133,0.0039367676,1.3634562e-06,0.003935404
176,5.090103e-08,0.00020135911,0.00022561256,0.0021362305,2.8908253e-06,0.0021333396
200,5.0702816e-08,0.00026718387,0.00022517286,0.0015029907,7.212162e-06,0.0014957786
145,5.066368e-08,0.00022883076,0.00022508594,0.0018692017,3.0398369e-06,0.0018661618
121,4.9013646e-08,0.00016124129,0.00022139026,0.0021972656,2.7865171e-06,0.002194479
182,4.828133e-08,0.0003050869,0.00021973012,0.0012893677,1.3709068e-05,0.0012756586
253,4.7842573e-08,0.00014011616,0.00021872944,0.0026855469,2.7865171e-06,0.0026827604
174,4.7602196e-08,0.00020015024,0.00021817928,0.0031585693,2.1606684e-06,0.0031564087
192,4.6490705e-08,0.00019796395,0.00021561704,0.0026245117,1.0803342e-06,0.0026234314
104,4.5373568e-08,0.00021017465,0.00021301072,0.0014266968,3.5762787e-06,0.0014231205
183,4.5247436e-08,0.00031333548,0.00021271445,0.0012664795,1.4662743e-05,0.0012518167
101,4.519012e-08,0.00024420558,0.00021257967,0.0013809204,5.364418e-06,0.001375556
175,4.430836e-08,0.0002035074,0.00021049552,0.001701355,1.758337e-06,0.0016995966
233,4.411872e-08,0.00027108318,0.00021004457,0.0014343262,7.5101852e-06,0.001426816
161,4.2202625e-08,0.00019350124,0.00020543278,0.0015106201,1.4454126e-06,0.0015091747
38,4.196605e-08,0.0002054787,0.00020485617,0.0015411377,2.220273e-06,0.0015389174
261,4.1657128e-08,0.00012689029,0.00020410078,0.004272461,1.8030405e-06,0.004270658
214,4.1068894e-08,0.00023080809,0.00020265461,0.0014419556,4.440546e-06,0.001437515
128,3.9167464e-08,0.00018343404,0.00019790772,0.0017166138,2.026558e-06,0.0017145872
160,3.8973553e-08,0.00018180729,0.0001974172,0.0016021729,9.0897083e-07,0.0016012639
142,3.8618793e-08,0.00017804027,0.00019651664,0.0020751953,1.7136335e-06,0.0020734817
254,3.8125155e-08,0.00012900484,0.00019525664,0.0041503906,3.2186508e-06,0.004147172
177,3.7790365e-08,0.000202647,0.00019439743,0.0015029907,2.220273e-06,0.0015007704
199,3.747735e-08,0.00021628989,0.00019359068,0.0013504028,4.61936e-06,0.0013457835
158,3.597685e-08,0.00018087939,0.00018967564,0.002029419,1.6391277e-06,0.0020277798
144,3.554654e-08,0.0001749879,0.0001885379,0.0022277832,1.937151e-06,0.002225846
127,3.4636958e-08,0.00017452308,0.00018611008,0.0020446777,1.3113022e-06,0.0020433664
205,3.459492e-08,0.00015895226,0.0001859971,0.0026397705,1.8700957e-06,0.0026379004
222,3.3420413e-08,0.00018710055,0.00018281251,0.0014877319,1.5497208e-06,0.0014861822
190,3.2445442e-08,0.00016877217,0.00018012618,0.0016326904,5.6251884e-07,0.0016321279
54,3.217558e-08,0.00016159238,0.00017937554,0.0018081665,1.7806888e-06,0.0018063858
111,3.165116e-08,0.0001620564,0.00017790773,0.0021972656,1.3709068e-06,0.0021958947
191,3.1568568e-08,0.00017519578,0.00017767545,0.0017089844,2.3692846e-06,0.0017066151
206,2.9097013e-08,0.00017043647,0.00017057847,0.0011901855,9.0524554e-07,0.0011892803
107,2.8973421e-08,0.00012614271,0.0001702158,0.0029144287,1.6540289e-06,0.0029127747
100,2.8854666e-08,0.00018877853,0.00016986662,0.0013275146,1.4826655e-06,0.001326032
264,2.8715457e-08,0.00017542901,0.00016945635,0.0013122559,3.9339066e-06,0.001308322
112,2.853677e-08,0.00016285069,0.0001689283,0.0013427734,1.2516975e-06,0.0013415217
86,2.8144129e-08,0.0001699823,0.00016776212,0.0011672974,1.1846423e-06,0.0011661127
126,2.7237318e-08,0.00016762466,0.00016503733,0.002105713,1.2516975e-06,0.0021044612
265,2.722517e-08,0.000196598,0.00016500051,0.0012130737,2.3543835e-06,0.0012107193
267,2.6990074e-08,0.000121705016,0.00016428657,0.002319336,8.828938e-07,0.002318453
70,2.6628474e-08,0.00015916683,0.00016318234,0.0012130737,1.6838312e-06,0.0012113899
159,2.660746e-08,0.00018155521,0.00016311793,0.0013885498,1.3187528e-06,0.001387231
137,2.6284336e-08,0.00014811776,0.00016212444,0.0010223389,1.6614795e-06,0.0010206774
204,2.59408e-08,0.00015295511,0.00016106147,0.0024261475,1.8924475e-06,0.002424255
106,2.5590523e-08,0.00012389557,0.00015997038,0.0018234253,1.9669533e-06,0.0018214583
201,2.5511e-08,0.00017635366,0.00015972163,0.0012283325,3.516674e-06,0.0012248158
230,2.4795591e-08,0.00016211363,0.00015746616,0.0012817383,3.4421682e-06,0.0012782961
65,2.4687397e-08,0.00012913099,0.00015712224,0.002090454,1.5571713e-06,0.002088897
155,2.459213e-08,0.00013687884,0.00015681877,0.0017166138,2.592802e-06,0.001714021
